title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Hurts So Good,Astrid S,alt z,2016,2020‑06‑08,120,0.737,0.785,-5.306,0.108,0.971,218960,0.042,0.0363,77,2016,Solo
Gold,Kiiara,alt z,2015,2020‑06‑08,113,0.696,0.629,-5.572,0.0554,0.623,207627,0.0195,0.348,64,2016,Solo
Easier,5 Seconds of Summer,boy band,2019,2020‑06‑22,176,0.399,0.547,-9.808,0.132,0.563,174707,0.668,0.0246,74,2019,Band/Group
i'm so tired...,Lauv,dance pop,2019,2020‑06‑22,102,0.806,0.736,-7.47,0.162,0.418,156605,0.14,0.0987,81,2019,Solo
Options,NSG,afro dancehall,2018,2020‑08‑20,102,0.798,0.47,-5.504,0.291,0.119,141199,0.0079,0.129,62,2019,Band/Group
When You Love Someone,James TW,neo mellow,2019,2020‑06‑08,126,0.453,0.682,-6.09,0.0543,0.348,216560,0.263,0.0278,79,2016,Solo
Alaska,Maggie Rogers,indie pop,2019,2021‑08‑09,104,0.386,0.847,-10.668,0.108,0.178,188000,0.411,0.0507,70,2016,Solo
NUMB,Hayden James,aussietronica,2019,2021‑06‑25,148,0.87,0.488,-4.185,0.484,0.211,187520,0.00353,0.0421,64,2017,Solo
Strip That Down (feat. Quavo),Liam Payne,dance pop,2019,2021‑01‑28,106,0.495,0.873,-5.446,0.0805,0.546,202062,0.199,0.0518,75,2017,Solo
Despacito,Luis Fonsi,latin,2019,2021‑01‑28,178,0.797,0.655,-4.787,0.067,0.839,229360,0.198,0.153,83,2017,Solo
Simple,Florida Georgia Line,contemporary country,2019,2020‑06‑22,200,0.752,0.422,-8.682,0.129,0.404,356627,0.0366,0.0449,75,2018,Duo
Strangers,Sigrid,dance pop,2019,2020‑06‑22,115,0.523,0.628,-8.307,0.219,0.416,172965,0.701,0.0946,64,2018,Solo
Ladbroke Grove,AJ Tracey,grime,2019,2020‑08‑20,134,0.839,0.902,-9.447,0.102,0.727,190537,0.0933,0.208,73,2019,Solo
China,Anuel AA,latin,2019,2020‑06‑22,105,0.91,0.623,-8.448,0.081,0.745,195307,0.319,0.0384,80,2019,Solo
Secreto,Anuel AA,latin,2019,2020‑06‑22,92,0.74,0.729,-7.524,0.288,0.416,152903,0.159,0.0439,79,2019,Solo
7 rings,Ariana Grande,dance pop,2019,2020‑06‑22,140,0.317,0.777,-10.732,0.0881,0.33,178627,0.591,0.308,88,2019,Solo
"thank u, next",Ariana Grande,dance pop,2019,2020‑06‑22,107,0.654,0.72,-5.634,0.101,0.411,207320,0.227,0.0647,85,2019,Solo
"break up with your girlfriend, i'm bored",Ariana Grande,dance pop,2019,2020‑06‑22,170,0.886,0.516,-4.869,0.149,0.636,192000,0.0261,0.0457,81,2019,Solo
boyfriend (with Social House),Ariana Grande,dance pop,2019,2020‑06‑22,190,0.795,0.4,-3.731,0.159,0.702,186107,0.119,0.461,81,2019,Solo
On A Roll,Ashley O,pop,2019,2020‑06‑22,125,0.745,0.695,-4.566,0.0863,0.485,198116,0.0124,0.0292,62,2019,Solo
Callaita,Bad Bunny,latin,2019,2020‑06‑22,176,0.626,0.608,-4.773,0.25,0.246,250534,0.597,0.301,86,2019,Solo
bad guy,Billie Eilish,art pop,2019,2020‑06‑22,135,0.425,0.701,-10.965,0.1,0.562,194088,0.328,0.375,88,2019,Solo
when the party's over,Billie Eilish,art pop,2019,2020‑06‑22,83,0.173,0.435,-16.188,0.384,0.401,146413,0.914,0.0627,85,2019,Solo
bury a friend,Billie Eilish,art pop,2019,2020‑06‑22,120,0.389,0.905,-14.505,0.106,0.196,193143,0.74,0.332,80,2019,Solo
Kill This Love,BLACKPINK,k-pop,2019,2020‑06‑22,132,0.835,0.763,-5.234,0.225,0.645,191050,0.323,0.191,79,2019,Band/Group
The Git Up,Blanco Brown,black americana,2019,2020‑06‑22,98,0.678,0.847,-8.635,0.274,0.811,200594,0.0669,0.109,74,2019,Solo
Boy With Luv (feat. Halsey),BTS,k-pop,2019,2020‑06‑22,120,0.862,0.645,-4.761,0.193,0.803,229773,0.0933,0.0845,86,2019,Band/Group
Please Me,Cardi B,dance pop,2019,2020‑06‑22,134,0.468,0.241,-9.579,0.161,0.451,112707,0.534,0.0272,79,2019,Solo
Suge,DaBaby,north carolina hip hop,2019,2020‑06‑22,75,0.662,0.876,-6.482,0.127,0.844,163320,0.0608,0.426,77,2019,Solo
Location (feat. Burna Boy),Dave,uk hip hop,2019,2020‑06‑22,110,0.496,0.812,-5.969,0.0955,0.55,241293,0.271,0.297,81,2019,Solo
Juicy,Doja Cat,dance pop,2019,2020‑06‑22,170,0.818,0.889,-4.639,0.179,0.782,302760,0.47,0.253,62,2019,Solo
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,2019,2020‑06‑22,101,0.502,0.831,-4.045,0.122,0.101,205427,0.101,0.046,82,2019,Solo
Don't Start Now,Dua Lipa,dance pop,2019,2020‑06‑22,124,0.185,0.498,-12.205,0.237,0.707,181347,0.876,0.0484,84,2019,Solo
Take Me Back to London (feat. Stormzy),Ed Sheeran,pop,2019,2020‑06‑22,138,0.762,0.885,-5.513,0.162,0.605,189733,0.219,0.216,71,2019,Solo
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,2020‑06‑22,95,0.787,0.746,-6.373,0.0669,0.607,206187,0.212,0.12,69,2019,Solo
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,2020‑06‑22,152,0.823,0.716,-5.313,0.361,0.91,161747,0.132,0.0495,68,2019,Solo
Leave Me Alone,Flipp Dinero,melodic rap,2019,2020‑06‑22,150,0.743,0.792,-2.806,0.183,0.742,195637,0.107,0.0851,75,2019,Solo
Lost in the Fire (feat. The Weeknd),Gesaffelstein,dark clubbing,2019,2021‑10‑28,101,0.671,0.658,-12.21,0.115,0.165,202093,0.0928,0.0364,89,2019,Solo
emotions,iann dior,melodic rap,2019,2021‑08‑17,81,0.631,0.63,-6.211,0.142,0.163,131213,0.0129,0.0396,77,2019,Solo
gone girl,iann dior,melodic rap,2019,2021‑08‑17,95,0.438,0.429,-7.719,0.139,0.417,244027,0.561,0.0626,75,2019,Solo
MIDDLE CHILD,J. Cole,conscious hip hop,2019,2020‑06‑22,124,0.364,0.837,-11.713,0.271,0.463,213594,0.149,0.276,85,2019,Solo
All Day And Night,Jax Jones,dance pop,2019,2020‑06‑22,122,0.915,0.563,-5.062,0.0613,0.71,142227,0.247,0.08,64,2019,Solo
Sorry,Joel Corry,dance pop,2019,2020‑06‑22,125,0.675,0.819,-4.281,0.289,0.602,207747,0.0318,0.0727,68,2019,Solo
Sucker,Jonas Brothers,boy band,2019,2020‑06‑22,138,0.734,0.842,-5.065,0.106,0.952,181027,0.0427,0.0588,84,2019,Band/Group
Only Human,Jonas Brothers,boy band,2019,2020‑06‑22,94,0.496,0.795,-5.883,0.0645,0.873,183000,0.107,0.0721,76,2019,Band/Group
Robbery,Juice WRLD,chicago rap,2019,2020‑06‑22,80,0.692,0.623,-5.122,0.153,0.566,240051,0.328,0.0504,84,2019,Solo
Good as You,Kane Brown,black americana,2019,2020‑06‑22,154,0.919,0.682,-3.18,0.442,0.535,159736,0.256,0.0875,70,2019,Solo
Nights Like This (feat. Ty Dolla $ign),Kehlani,dance pop,2019,2020‑06‑22,146,0.725,0.61,-5.131,0.154,0.291,201788,0.367,0.15,80,2019,Solo
Talk (feat. Disclosure),Khalid,pop,2019,2020‑06‑22,136,0.4,0.9,-8.575,0.0599,0.346,197573,0.0516,0.127,76,2019,Solo
Doin' Time,Lana Del Rey,art pop,2019,2020‑06‑22,145,0.559,0.641,-11.132,0.0937,0.523,202193,0.404,0.0355,83,2019,Solo
Someone You Loved,Lewis Capaldi,pop,2019,2020‑06‑22,110,0.405,0.501,-5.679,0.105,0.446,182161,0.751,0.0319,89,2019,Solo
Grace,Lewis Capaldi,pop,2019,2020‑06‑22,104,0.513,0.824,-6.263,0.109,0.179,203438,0.384,0.36,72,2019,Solo
Old Town Road - Remix,Lil Nas X,lgbtq+ hip hop,2019,2020‑06‑22,136,0.619,0.878,-5.56,0.113,0.639,157067,0.0533,0.102,83,2019,Solo
Old Town Road,Lil Nas X,lgbtq+ hip hop,2019,2020‑06‑22,136,0.619,0.878,-5.56,0.113,0.639,157067,0.0533,0.102,80,2019,Solo
Panini,Lil Nas X,lgbtq+ hip hop,2019,2020‑06‑22,154,0.594,0.703,-6.146,0.123,0.475,114893,0.342,0.0752,76,2019,Solo
Ransom,Lil Tecca,melodic rap,2019,2020‑06‑22,180,0.642,0.745,-6.257,0.0658,0.226,131240,0.0204,0.287,83,2019,Solo
Truth Hurts,Lizzo,dance pop,2019,2020‑06‑22,158,0.624,0.715,-3.046,0.123,0.412,173325,0.11,0.114,80,2019,Solo
Good as Hell,Lizzo,dance pop,2019,2020‑06‑22,96,0.919,0.682,-3.18,0.442,0.535,159736,0.256,0.0875,77,2019,Solo
Soltera - Remix,Lunay,latin,2019,2020‑06‑22,92,0.783,0.795,-4.271,0.437,0.799,266087,0.361,0.0432,74,2019,Solo
Light On,Maggie Rogers,indie pop,2019,2020‑06‑22,102,0.04,0.44,-16.887,0.111,0.249,193749,0.981,0.0322,72,2019,Solo
Here With Me,Marshmello,brostep,2019,2020‑06‑22,100,0.45,0.575,-9.306,0.124,0.263,242485,0.531,0.0259,77,2019,Solo
One Thing Right,Marshmello,brostep,2019,2020‑06‑22,88,0.625,0.659,-2.253,0.582,0.442,181824,0.0644,0.045,77,2019,Solo
Piece Of Your Heart,MEDUZA,edm,2019,2020‑06‑22,124,0.86,0.797,-4.38,0.334,0.192,166452,0.0312,0.0413,81,2019,Band/Group
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,dance pop,2019,2020‑06‑22,99,0.814,0.872,-4.568,0.214,0.57,199427,0.00485,0.155,73,2019,Solo
Slide Away,Miley Cyrus,dance pop,2019,2020‑06‑22,148,0.538,0.534,-6.673,0.248,0.289,233654,0.173,0.0327,74,2019,Solo
Pure Water (with Migos),Mustard,cali rap,2019,2020‑06‑22,202,0.559,0.68,-5.545,0.344,0.135,192471,0.177,0.127,80,2019,Solo
Shotta Flow (feat. Blueface) [Remix],NLE Choppa,memphis hip hop,2019,2020‑06‑22,120,0.514,0.893,-4.776,0.142,0.555,176632,0.0245,0.424,74,2019,Solo
Motivation,Normani,dance pop,2019,2020‑06‑22,171,0.672,0.744,-5.589,0.105,0.266,230560,0.187,0.0417,76,2019,Solo
Clout (feat. Cardi B),Offset,atl hip hop,2019,2020‑06‑22,140,0.622,0.919,-7.384,0.122,0.423,205803,0.23,0.0997,73,2019,Solo
Adan y Eva,Paulo Londra,argentine hip hop,2019,2020‑06‑22,172,0.709,0.767,-4.47,0.0745,0.72,256972,0.323,0.336,76,2019,Solo
Pop Out (feat. Lil Tjay),Polo G,chicago rap,2019,2020‑06‑22,168,0.639,0.772,-7.119,0.0698,0.261,166560,0.15,0.467,83,2019,Solo
Circles,Post Malone,dfw rap,2019,2020‑06‑22,120,0.763,0.695,-3.497,0.0863,0.551,215280,0.189,0.0396,89,2019,Solo
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,2020‑06‑22,90,0.522,0.755,-4.368,0.0685,0.925,157560,0.533,0.0575,84,2019,Solo
Wow.,Post Malone,dfw rap,2019,2020‑06‑22,100,0.538,0.829,-7.359,0.103,0.389,149547,0.137,0.212,83,2019,Solo
Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,2020‑06‑22,150,0.653,0.547,-3.875,0.103,0.163,174853,0.456,0.081,82,2019,Solo
Ride It,Regard,dance pop,2019,2020‑06‑22,118,0.751,0.88,-4.258,0.106,0.884,157606,0.177,0.0874,85,2019,Solo
Keisha & Becky - Remix,Russ Millions,uk drill,2019,2020‑08‑20,141,0.471,0.863,-9.545,0.121,0.643,252907,0.247,0.477,73,2019,Solo
Post Malone (feat. RANI),Sam Feldt,dance pop,2019,2020‑06‑22,107,0.642,0.59,-3.87,0.105,0.651,174444,0.0771,0.122,74,2019,Solo
My Type,Saweetie,cali rap,2019,2020‑06‑22,105,0.896,0.595,-2.951,0.0748,0.567,204812,0.0641,0.047,76,2019,Solo
Otro Trago,Sech,latin,2019,2020‑06‑22,176,0.79,0.725,-2.331,0.0602,0.763,287773,0.0711,0.197,76,2019,Solo
Señorita,Shawn Mendes,canadian pop,2019,2020‑06‑22,117,0.548,0.759,-6.049,0.0828,0.75,190800,0.0379,0.0289,83,2019,Solo
If I Can't Have You,Shawn Mendes,canadian pop,2019,2020‑06‑22,124,0.809,0.69,-4.198,0.147,0.864,190800,0.524,0.0603,78,2019,Solo
Don’t Feel Like Crying,Sigrid,dance pop,2019,2020‑06‑22,120,0.814,0.749,-3.769,0.0673,0.714,157010,0.156,0.0404,56,2019,Solo
Vossi Bop,Stormzy,grime,2019,2020‑06‑22,188,0.653,0.682,-6.062,0.129,0.428,196267,0.13,0.339,69,2019,Solo
Lover,Taylor Swift,pop,2019,2020‑06‑22,69,0.871,0.559,-5.338,0.096,0.572,213920,7.53e-06,0.0397,86,2019,Solo
Cruel Summer,Taylor Swift,pop,2019,2021‑08‑17,170,0.702,0.552,-5.707,0.105,0.564,178427,0.117,0.157,82,2019,Solo
You Need To Calm Down,Taylor Swift,pop,2019,2020‑06‑22,85,0.671,0.771,-5.617,0.0637,0.714,171360,0.00929,0.0553,81,2019,Solo
EARFQUAKE,"Tyler, The Creator",hip hop,2019,2020‑06‑22,80,0.498,0.554,-8.866,0.795,0.413,190067,0.23,0.0685,85,2019,Solo
Boasty (feat. Idris Elba),Wiley,grime,2019,2020‑06‑22,103,0.765,0.887,-5.207,0.0907,0.456,177186,0.00915,0.0669,68,2019,Solo
Strike a Pose (feat. Aitch),Young T & Bugsey,afroswing,2019,2020‑08‑20,138,0.581,0.531,-5.801,0.101,0.591,214204,0.0107,0.101,67,2019,Duo
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,2019,2020‑06‑22,98,0.517,0.784,-8.981,0.155,0.206,200187,0.0249,0.209,75,2019,Solo
Dancing On My Own,Calum Scott,neo mellow,2018,2020‑06‑08,113,0.174,0.681,-8.745,0.0983,0.231,260285,0.837,0.0315,84,2016,Solo
Perfect Strangers,Jonas Blue,dance pop,2018,2020‑06‑08,118,0.861,0.73,-4.1,0.213,0.704,196613,0.39,0.0451,80,2016,Solo
Fast Car,Jonas Blue,dance pop,2018,2020‑06‑08,114,0.603,0.712,-5.52,0.115,0.67,265493,0.186,0.0262,77,2016,Solo
Sweet Lovin' - Radio Edit,Sigala,dance pop,2018,2020‑06‑08,125,0.85,0.68,-2.785,0.339,0.71,202213,0.207,0.0661,69,2016,Solo
Just Hold On,Steve Aoki,dance pop,2018,2020‑06‑08,115,0.932,0.647,-3.515,0.0574,0.374,198774,0.00383,0.0824,61,2016,Solo
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,2021‑01‑28,105,0.523,0.765,-4.333,0.132,0.394,217307,0.184,0.03,84,2017,Solo
Bodak Yellow,Cardi B,dance pop,2018,2021‑01‑28,125,0.703,0.926,-6.337,0.231,0.485,223713,0.0659,0.103,77,2017,Solo
broken,lovelytheband,indie poptimism,2018,2021‑06‑25,123,0.684,0.692,-7.364,0.156,0.406,231253,0.131,0.155,76,2017,Band/Group
Cold (feat. Future),Maroon 5,pop,2018,2021‑01‑28,100,0.717,0.692,-6.346,0.0464,0.412,234308,0.138,0.107,68,2017,Band/Group
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,pop,2018,2021‑01‑28,100,0.234,0.794,-16.037,0.0874,0.092,216698,0.159,0.0673,66,2017,Band/Group
Little Dark Age,MGMT,alternative dance,2018,2022‑03‑08,98,0.712,0.705,-6.156,0.1,0.62,299960,0.0102,0.0385,85,2017,Band/Group
No Lie,Sean Paul,dance pop,2018,2021‑01‑28,102,0.882,0.742,-2.862,0.206,0.463,221176,0.0466,0.117,89,2017,Solo
BUTTERFLY EFFECT,Travis Scott,hip hop,2018,2021‑01‑28,141,0.628,0.763,-5.85,0.114,0.193,190557,0.0531,0.05,81,2017,Solo
Youngblood,5 Seconds of Summer,boy band,2018,2020‑06‑22,120,0.854,0.597,-5.114,0.124,0.152,203418,0.0169,0.463,74,2018,Band/Group
FEFE,6ix9ine,emo rap,2018,2020‑06‑22,126,0.383,0.93,-9.34,0.119,0.385,179405,0.0896,0.409,75,2018,Solo
GUMMO,6ix9ine,emo rap,2018,2020‑06‑22,157,0.771,0.691,-5.17,0.135,0.673,157643,0.0511,0.164,67,2018,Solo
God is a woman,Ariana Grande,dance pop,2018,2020‑06‑22,145,0.658,0.602,-5.934,0.237,0.268,197547,0.0233,0.0558,83,2018,Solo
no tears left to cry,Ariana Grande,dance pop,2018,2020‑06‑22,122,0.713,0.699,-5.507,0.294,0.354,205920,0.04,0.0594,82,2018,Solo
Jumanji,B Young,afroswing,2018,2020‑06‑22,96,0.555,0.823,-6.948,0.106,0.338,183240,0.0191,0.304,65,2018,Solo
Answerphone (feat. Yxng Bane),Banx & Ranx,basshall,2018,2020‑06‑22,113,0.834,0.671,-3.928,0.454,0.454,190921,0.0387,0.0885,60,2018,Duo
Mine,Bazzi,dance pop,2018,2020‑06‑22,143,0.789,0.71,-3.874,0.451,0.717,131064,0.0161,0.0722,80,2018,Solo
Eastside (with Halsey & Khalid),benny blanco,electropop,2018,2020‑06‑22,89,0.686,0.632,-7.665,0.2,0.329,170770,0.549,0.243,80,2018,Solo
lovely (with Khalid),Billie Eilish,art pop,2018,2020‑06‑22,115,0.296,0.351,-10.109,0.095,0.12,200186,0.934,0.0333,91,2018,Solo
Look Alive (feat. Drake),BlocBoy JB,memphis hip hop,2018,2020‑06‑22,140,0.58,0.918,-7.501,0.106,0.611,181415,0.00108,0.322,78,2018,Solo
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,2020‑06‑22,124,0.862,0.791,-3.24,0.0814,0.592,214847,0.037,0.11,86,2018,Solo
Never Be the Same,Camila Cabello,dance pop,2018,2020‑06‑22,130,0.713,0.637,-4.333,0.137,0.243,226973,0.181,0.0747,79,2018,Solo
I Like It,Cardi B,dance pop,2018,2020‑06‑22,136,0.726,0.816,-3.998,0.372,0.65,253390,0.099,0.129,83,2018,Solo
Bodak Yellow,Cardi B,dance pop,2018,2020‑06‑22,125,0.703,0.926,-6.337,0.231,0.485,223713,0.0659,0.103,77,2018,Solo
Be Careful,Cardi B,dance pop,2018,2020‑06‑22,152,0.568,0.82,-8.23,0.0952,0.535,210787,0.0256,0.411,72,2018,Solo
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,dance pop,2018,2021‑06‑15,100,0.641,0.747,-4.502,0.106,0.453,186231,0.25,0.0925,61,2018,Solo
How Long,Charlie Puth,dance pop,2018,2020‑06‑22,110,0.561,0.845,-5.253,0.0383,0.811,200853,0.211,0.0778,77,2018,Solo
Done for Me (feat. Kehlani),Charlie Puth,dance pop,2018,2021‑08‑17,112,0.632,0.856,-3.692,0.0688,0.697,180493,0.193,0.074,72,2018,Solo
The Way I Am,Charlie Puth,dance pop,2018,2021‑08‑17,115,0.871,0.785,-2.692,0.309,0.315,290427,0.144,0.265,68,2018,Solo
This Is America,Childish Gambino,atl hip hop,2018,2020‑06‑22,120,0.463,0.854,-6.159,0.354,0.549,225773,0.117,0.137,75,2018,Solo
Tequila,Dan + Shay,contemporary country,2018,2020‑06‑22,86,0.581,0.489,-5.731,0.132,0.494,196747,0.0312,0.0281,75,2018,Duo
No Brainer,DJ Khaled,dance pop,2018,2020‑06‑22,136,0.76,0.552,-4.706,0.0865,0.639,260000,0.0733,0.342,71,2018,Solo
God's Plan,Drake,canadian hip hop,2018,2020‑06‑22,77,0.843,0.698,-6.89,0.115,0.885,118393,0.889,0.0372,86,2018,Solo
Nonstop,Drake,canadian hip hop,2018,2020‑06‑22,155,0.412,0.912,-8.074,0.104,0.423,238614,0.0165,0.123,82,2018,Solo
Nice For What,Drake,canadian hip hop,2018,2020‑06‑22,93,0.909,0.585,-6.474,0.119,0.758,210747,0.0891,0.0707,81,2018,Solo
In My Feelings,Drake,canadian hip hop,2018,2020‑06‑22,91,0.626,0.835,-5.833,0.396,0.35,217925,0.0589,0.125,80,2018,Solo
I'm Upset,Drake,canadian hip hop,2018,2020‑06‑22,150,0.33,0.88,-13.571,0.0482,0.841,157427,0.168,0.325,73,2018,Solo
In My Mind,Dynoro,edm,2018,2020‑06‑22,126,0.77,0.694,-5.335,0.118,0.163,184560,0.176,0.149,83,2018,Solo
Trip,Ella Mai,dance pop,2018,2020‑06‑22,80,0.609,0.477,-5.628,0.107,0.357,213993,0.222,0.144,77,2018,Solo
German,EO,afroswing,2018,2020‑06‑22,103,0.803,0.802,-4.408,0.0903,0.886,227422,0.0181,0.0312,71,2018,Solo
Let's Fall in Love for the Night,FINNEAS,alt z,2018,2021‑06‑15,128,0.225,0.492,-13.011,0.646,0.612,160426,0.97,0.104,77,2018,Solo
Shotgun,George Ezra,folk-pop,2018,2020‑06‑22,116,0.735,0.673,-4.733,0.242,0.754,201287,0.286,0.0457,81,2018,Solo
Paradise,George Ezra,folk-pop,2018,2020‑06‑22,138,0.98,0.268,-5.959,0.182,0.39,405600,0.019,0.101,73,2018,Solo
we fell in love in october,girl in red,bedroom pop,2018,2021‑03‑02,130,0.366,0.566,-12.808,0.155,0.237,184154,0.113,0.028,88,2018,Solo
Natural,Imagine Dragons,modern rock,2018,2020‑06‑22,100,0.611,0.704,-6.112,0.0812,0.22,189467,0.217,0.041,85,2018,Band/Group
Make Me Feel,Janelle Monáe,afrofuturism,2018,2021‑06‑15,115,0.413,0.859,-7.399,0.334,0.697,194230,0.132,0.182,68,2018,Solo
You Make It Easy,Jason Aldean,contemporary country,2018,2020‑06‑22,132,0.571,0.542,-5.299,0.101,0.506,193227,0.156,0.028,74,2018,Solo
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,conscious hip hop,2018,2020‑06‑22,137,0.599,0.564,-5.923,0.17,0.823,226116,0.0146,0.322,76,2018,Solo
Rise,Jonas Blue,dance pop,2018,2020‑06‑22,106,0.129,0.483,-20.149,0.106,0.203,161929,0.947,0.0349,74,2018,Solo
Lucid Dreams,Juice WRLD,chicago rap,2018,2020‑06‑22,84,0.566,0.511,-7.23,0.34,0.218,239836,0.349,0.2,89,2018,Solo
All The Stars (with SZA),Kendrick Lamar,conscious hip hop,2018,2020‑06‑22,97,0.633,0.695,-4.946,0.0926,0.557,232187,0.0612,0.0599,85,2018,Solo
Love Lies (with Normani),Khalid,pop,2018,2020‑06‑22,144,0.648,0.708,-5.626,0.134,0.338,201707,0.0956,0.0449,78,2018,Solo
1950,King Princess,alt z,2018,2021‑06‑10,72,0.535,0.6,-7.043,0.162,0.269,225133,0.648,0.107,77,2018,Solo
I Like Me Better,Lauv,dance pop,2018,2020‑06‑22,92,0.505,0.753,-7.621,0.104,0.419,197437,0.534,0.255,86,2018,Solo
Yes Indeed,Lil Baby,atl hip hop,2018,2020‑06‑22,120,0.346,0.963,-9.309,0.108,0.562,142273,0.0355,0.53,84,2018,Solo
Freaky Friday (feat. Chris Brown),Lil Dicky,comedy rap,2018,2020‑06‑22,133,0.599,0.755,-5.042,0.109,0.755,216632,0.147,0.224,74,2018,Solo
Everyday,Logic,conscious hip hop,2018,2021‑08‑17,150,0.661,0.394,-8.684,0.343,0.335,260987,0.00996,0.192,74,2018,Solo
Bad Vibe,M.O,afroswing,2018,2020‑06‑22,110,0.526,0.8,-5.153,0.0571,0.746,150475,0.334,0.0716,58,2018,Band/Group
Corazón (feat. Nego do Borel),Maluma,latin,2018,2020‑06‑22,198,0.738,0.722,-6.073,0.198,0.748,184720,0.328,0.247,74,2018,Solo
Wait,Maroon 5,pop,2018,2020‑06‑22,126,0.642,0.463,-4.474,0.0686,0.339,189893,0.314,0.34,64,2018,Band/Group
Happier,Marshmello,brostep,2018,2020‑06‑22,100,0.792,0.687,-2.749,0.167,0.671,214290,0.191,0.0452,86,2018,Solo
FRIENDS,Marshmello,brostep,2018,2020‑06‑22,95,0.608,0.328,-6.368,0.108,0.0796,230011,0.0117,0.038,83,2018,Solo
Spotlight,Marshmello,brostep,2018,2021‑08‑17,150,0.822,0.546,-4.483,0.742,0.615,177600,0.0145,0.151,76,2018,Solo
Walk It Talk It,Migos,atl hip hop,2018,2020‑06‑22,146,0.633,0.908,-5.145,0.106,0.395,276147,0.0859,0.183,79,2018,Trio
MotorSport,Migos,atl hip hop,2018,2020‑08‑11,138,0.518,0.902,-5.32,0.325,0.188,303077,0.0305,0.183,77,2018,Trio
Stir Fry,Migos,atl hip hop,2018,2020‑06‑22,182,0.816,0.817,-5.402,0.159,0.508,190288,0.00263,0.269,75,2018,Trio
Te Boté - Remix,Nio Garcia,latin,2018,2020‑06‑22,97,0.675,0.903,-3.445,0.0595,0.442,417920,0.542,0.214,81,2018,Solo
Vaina Loca,Ozuna,latin,2018,2020‑06‑22,94,0.805,0.754,-4.249,0.203,0.555,176133,0.315,0.0752,77,2018,Solo
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,colombian pop,2018,2020‑06‑22,170,0.788,0.681,-4.323,0.0753,0.839,220117,0.0482,0.0785,76,2018,Band/Group
rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,2020‑06‑22,160,0.52,0.585,-6.136,0.131,0.129,218147,0.124,0.0713,87,2018,Solo
Better Now,Post Malone,dfw rap,2018,2020‑06‑22,145,0.578,0.674,-5.804,0.135,0.34,231267,0.331,0.0408,84,2018,Solo
Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2018,2020‑06‑22,140,0.56,0.75,-8.094,0.111,0.459,221440,0.546,0.105,82,2018,Solo
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,hip hop,2018,2020‑06‑22,174,0.831,0.713,-4.75,0.118,0.589,332301,0.0166,0.149,71,2018,Duo
Plug Walk,Rich The Kid,atl hip hop,2018,2020‑06‑22,95,0.519,0.872,-6.531,0.108,0.154,175230,0.203,0.177,77,2018,Solo
Mo Bamba,Sheck Wes,rap,2018,2020‑08‑11,146,0.625,0.729,-5.266,0.248,0.261,183907,0.194,0.0315,81,2018,Solo
It's Not Living (If It's Not With You),The 1975,modern alternative rock,2018,2021‑06‑15,121,0.961,0.547,-5.382,0.985,0.416,253557,0.0044,0.0576,75,2018,Band/Group
This Feeling,The Chainsmokers,dance pop,2018,2022‑01‑24,105,0.962,0.411,-5.952,0.529,0.622,172646,0.103,0.0917,78,2018,Duo
Sick Boy,The Chainsmokers,dance pop,2018,2022‑01‑24,90,0.814,0.62,-3.192,0.0977,0.654,168676,0.306,0.0911,74,2018,Duo
Call Out My Name,The Weeknd,canadian contemporary r&b,2018,2020‑06‑22,134,0.593,0.461,-4.954,0.307,0.174,228373,0.165,0.0356,85,2018,Solo
Pray For Me (with Kendrick Lamar),The Weeknd,canadian contemporary r&b,2018,2020‑06‑22,101,0.677,0.735,-4.979,0.111,0.187,211440,0.0756,0.0932,74,2018,Solo
Jackie Chan,Tiësto,big room,2018,2020‑06‑22,128,0.834,0.747,-2.867,0.0586,0.687,215760,0.374,0.045,76,2018,Solo
SICKO MODE,Travis Scott,hip hop,2018,2020‑06‑22,155,0.73,0.834,-3.714,0.124,0.446,312820,0.00513,0.222,86,2018,Solo
Taste (feat. Offset),Tyga,dance pop,2018,2020‑06‑22,98,0.613,0.866,-6.385,0.104,0.359,229210,0.0293,0.151,78,2018,Solo
Saturday Sun,Vance Joy,folk-pop,2018,2021‑06‑15,100,0.864,0.637,-4.381,0.222,0.706,214720,0.484,0.0468,75,2018,Solo
